userID,Movie Recommendation 1,Movie Recommendation 2,Movie Recommendation 3,Movie Recommendation 4,Movie Recommendation 5,Movie Recommendation 6,Movie Recommendation 7,Movie Recommendation 8,Movie Recommendation 9,Movie Recommendation 10
30,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Longest Day, The ",All Quiet on the Western Front ,Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
31,Toy Story 2 ,Antz ,"Bug's Life, A ",Puss in Boots  ,"Black Cauldron, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
32,Sense and Sensibility ,"Piano, The ",William Shakespeare's Romeo + Juliet,Breakfast at Tiffany's ,"Virgin Suicides, The ",Hoosiers  ,"Matrix, The ",Forrest Gump ,Fight Club ,American Beauty 
33,Star Wars: Episode V - The Empire Strikes Back ,Fight Club ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Bullitt ,Fight Club ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
34,"Green Mile, The ",Goodfellas ,American History X ,"Godfather: Part II, The ",Casino ,Dead Man Walking ,Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
35,Crimson Tide ,Aladdin ,"Firm, The ",Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,"Shawshank Redemption, The "
36,Apocalypse Now ,"Boot, Das  ",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,For a Few Dollars More  ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
37,Crimson Tide ,Aladdin ,Beauty and the Beast ,Braveheart ,Cliffhanger ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The "
38,Babe ,Like Water for Chocolate  ,Stargate ,Twelve Monkeys  ,Seconds ,"Stepford Wives, The ",Unforgettable ,Seven  ,Rear Window ,"Matrix, The "
39,Fight Club ,One Flew Over the Cuckoo's Nest ,"Shawshank Redemption, The ",Forrest Gump ,L̩on: The Professional   ,American History X ,"Green Mile, The ",Casino ,Dead Man Walking ,Donnie Brasco 
40,"American President, The ",Crimson Tide ,Interview with the Vampire: The Vampire Chronicles ,Maverick ,Schindler's List ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton 
41,"Shawshank Redemption, The ","Godfather, The ","Godfather, The ","Godfather: Part II, The ","Green Mile, The ",Casino ,Dead Man Walking ,"Shawshank Redemption, The ",Star Wars: Episode IV - A New Hope ,Schindler's List 
42,American Beauty ,Indiana Jones and the Last Crusade ,Dazed and Confused ,"Green Mile, The ",L̩on: The Professional   ,Titanic ,Leaving Las Vegas ,Sense and Sensibility ,Breakfast at Tiffany's ,William Shakespeare's Romeo + Juliet
43,Home Alone ,"Silence of the Lambs, The ",Twister ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,"Matrix, The ","Silence of the Lambs, The "
44,Dragonheart ,Star Trek: First Contact ,Twelve Monkeys  ,"Nutty Professor, The ",Phenomenon ,Seconds ,"Stepford Wives, The ",Unforgettable ,Seven  ,Rear Window 
45,GoldenEye ,L̩on: The Professional   ,"Shawshank Redemption, The ",Alien ,Aliens ,Casino ,Dead Man Walking ,Donnie Brasco ,Carlito's Way ,Dog Day Afternoon 
46,Apollo 13 ,Pulp Fiction ,Seven  ,Fargo ,Man Bites Dog  ,Freeway ,Trainspotting ,Get Shorty ,Pulp Fiction ,"Matrix, The "
47,Good Will Hunting ,Casablanca ,American Beauty ,Sense and Sensibility ,Leaving Las Vegas ,"Piano, The ",Pulp Fiction ,"Matrix, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
48,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Terminator 2: Judgment Day ,Back to the Future ,Indiana Jones and the Last Crusade ,Star Wars: Episode VI - Return of the Jedi ,Star Wars: Episode IV - A New Hope ,Stargate ,Superman ,Star Wars: Episode I - The Phantom Menace 
49,Fight Club ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Pulp Fiction ,"Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
50,Reservoir Dogs ,Airplane! ,Alien ,"Godfather: Part II, The ",One Flew Over the Cuckoo's Nest ,Rain Man ,Dead Poets Society ,What's Eating Gilbert Grape ,Mr. Holland's Opus ,Rocky 
51,"Fifth Element, The ",Indiana Jones and the Last Crusade ,American Beauty ,American History X ,Being John Malkovich ,Good Will Hunting ,Titanic ,Jerry Maguire ,Leaving Las Vegas ,Sense and Sensibility 
52,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The ",Schindler's List ,American Beauty 
53,Schindler's List ,"Shawshank Redemption, The ","Thin Red Line, The ","Usual Suspects, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The "
54,Die Hard: With a Vengeance ,"Lion King, The ",Anastasia ,Fantasia 2000 ,Dumbo ,Tarzan ,"Secret of NIMH, The ","Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope 
55,"Matrix, The ",American Beauty ,Braveheart ,"Fifth Element, The ",Office Space ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
56,Apollo 13 ,Dances with Wolves ,Babe ,Speed ,Twelve Monkeys  ,Stand by Me ,Easy Rider ,"Man Who Would Be King, The ","Straight Story, The ",Aguirre: The Wrath of God  
57,Goodfellas ,Jaws ,Alien ,"Big Lebowski, The ",Brazil ,"Abominable Snowman, The  ",Attack of the Puppet People ,From Beyond ,"Thing from Another World, The ","Asphyx, The "
58,"American President, The ",Rob Roy ,"Silence of the Lambs, The ",Stargate ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,"Birds, The ","Matrix, The "
59,Alien ,Aliens ,North by Northwest ,Patton ,Amadeus ,"Abominable Snowman, The  ",Attack of the Puppet People ,From Beyond ,"Thing from Another World, The ","Asphyx, The "
60,Fight Club ,"Godfather: Part II, The ",Pulp Fiction ,"Silence of the Lambs, The ",Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction 
61,Pulp Fiction ,American Beauty ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Fight Club ,"Godfather, The ",Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
62,"Shining, The ",American Beauty ,Fargo ,"Princess Bride, The ",Aladdin ,Casablanca ,Jerry Maguire ,Leaving Las Vegas ,Sense and Sensibility ,"Piano, The "
63,"Princess Bride, The ","Sixth Sense, The ",Toy Story 2 ,"Clockwork Orange, A ","Green Mile, The ",Big Trouble in Little China ,Romancing the Stone ,Clash of the Titans ,"Three Musketeers, The ",Last Action Hero 
64,Batman ,Aliens ,Back to the Future ,Dazed and Confused ,GoldenEye ,Back to the Future Part II ,Star Trek IV: The Voyage Home ,"Adventures of Buckaroo Banzai Across the 8th Dimension, The ","Hitch Hikers Guide to the Galaxy, The ",Our Man Flint 
65,Forrest Gump ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
66,Beetlejuice ,"Big Lebowski, The ","Christmas Story, A ","Crow, The ",E.T. the Extra-Terrestrial ,"Sting, The ",Some Like It Hot ,"Return of the Pink Panther, The ","Thin Man, The ",Ocean's Eleven  
67,Raiders of the Lost Ark  ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  ",Shogun Assassin ,"Silence of the Lambs, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Schindler's List 
68,Dog Day Afternoon ,Akira ,"Cider House Rules, The ",Trainspotting ,Twelve Monkeys  ,Seconds ,"Stepford Wives, The ",Unforgettable ,Rear Window ,Just Cause 
69,Braveheart ,Raiders of the Lost Ark  ,Indiana Jones and the Last Crusade ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  ",Fight Club ,Schindler's List ,Raiders of the Lost Ark  
70,Fight Club ,"Godfather: Part II, The ",Life Is Beautiful  ,Saving Private Ryan ,"Silence of the Lambs, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
71,Twelve Monkeys  ,Eraser ,"River Wild, The ",Seconds ,"Stepford Wives, The ",Unforgettable ,Seven  ,Rear Window ,"Shawshank Redemption, The ",Pulp Fiction 
72,Fight Club ,L̩on: The Professional   ,"Shining, The ","Sixth Sense, The ",Toy Story ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
73,"Godfather, The ",Schindler's List ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
74,Casablanca ,Cool Hand Luke ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Touch of Evil ,"Battle of Algiers, The  ",Stripes ,"General, The ",Don't Look Now: We're Being Shot At  ,And the Ship Sails On  ,Catch-22 
75,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The "
76,American History X ,One Flew Over the Cuckoo's Nest ,"Usual Suspects, The ",Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express ,Frantic ,"Usual Suspects, The ",Schindler's List 
77,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,Mad Max ,Tron ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
78,"Godfather, The ",Saving Private Ryan ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Superman ,Star Wars: Episode I - The Phantom Menace ,Mad Max ,Fight Club 
79,Braveheart ,Raiders of the Lost Ark  ,Alien ,Beverly Hills Cop ,"Untouchables, The ",Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  ",Shogun Assassin 
80,Pulp Fiction ,Schindler's List ,American History X ,Saving Private Ryan ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction 
81,Clear and Present Danger ,Dances with Wolves ,True Grit ,Lonesome Dove ,Ride the High Country ,Quigley Down Under ,Return to Snowy River  ,"Matrix, The ","Silence of the Lambs, The ",Fight Club 
82,American History X ,American Pie ,"Silence of the Lambs, The ",Blade ,Dr. No ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
83,Fight Club ,Schindler's List ,"Silence of the Lambs, The ",American History X ,Fargo ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",True Romance ,"Birds, The "
84,Aladdin ,Braveheart ,Tombstone ,Beauty and the Beast ,"Clockwork Orange, A ",Saving Private Ryan ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Longest Day, The "
85,"Shawshank Redemption, The ",Fight Club ,Life Is Beautiful  ,Saving Private Ryan ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The "
86,"Silence of the Lambs, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The ",Schindler's List 
87,Fight Club ,"Princess Bride, The ",Princess Mononoke  ,Raiders of the Lost Ark  ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,"Shawshank Redemption, The "
88,Fight Club ,"Godfather, The ",Forrest Gump ,"Green Mile, The ",Life Is Beautiful  ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
89,American Beauty ,Beauty and the Beast ,Casablanca ,Chinatown ,Fantasia ,Good Will Hunting ,Titanic ,Casablanca ,Jerry Maguire ,Leaving Las Vegas 
90,James and the Giant Peach ,Heat ,Mission: Impossible ,North by Northwest ,GoldenEye ,"Rock, The ","Hunt for Red October, The ",Die Hard 2 ,"Shawshank Redemption, The ",Pulp Fiction 
91,American Beauty ,American History X ,Dogma ,Babe ,"Big Lebowski, The ",Titanic ,Sense and Sensibility ,"Piano, The ",Breakfast at Tiffany's ,William Shakespeare's Romeo + Juliet
92,Beauty and the Beast ,"Jungle Book, The ","Lion King, The ",Mary Poppins ,Toy Story ,Toy Story 2 ,Antz ,"Bug's Life, A ",Puss in Boots  ,"Black Cauldron, The "
93,Back to the Future ,Die Hard ,Die Hard: With a Vengeance ,"Fifth Element, The ","Fugitive, The ",Back to the Future Part II ,Galaxy Quest ,Bill & Ted's Excellent Adventure ,Star Trek IV: The Voyage Home ,"Adventures of Buckaroo Banzai Across the 8th Dimension, The "
94,Beauty and the Beast ,Cinderella ,"Nightmare Before Christmas, The ",Fantasia ,Pinocchio ,Peter Pan ,"Matrix, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
95,"Godfather, The ",American Beauty ,"Big Lebowski, The ",Braveheart ,Fight Club ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Bullitt 
96,Star Wars: Episode V - The Empire Strikes Back ,"Shawshank Redemption, The ","Silence of the Lambs, The ",American History X ,Goodfellas ,"Green Mile, The ",Casino ,Dead Man Walking ,"Shawshank Redemption, The ",Forrest Gump 
97,Star Wars: Episode V - The Empire Strikes Back ,"Godfather: Part II, The ",Raiders of the Lost Ark  ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,Mad Max ,"Shawshank Redemption, The "
98,Fight Club ,Pulp Fiction ,"Shawshank Redemption, The ",Star Wars: Episode IV - A New Hope ,American Beauty ,American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
99,Beauty and the Beast ,Braveheart ,Dances with Wolves ,"Fugitive, The ","Lion King, The ",Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The "
100,Ferris Bueller's Day Off ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Big ,Fight Club ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
101,Nell ,Rudy ,"Girl, Interrupted ","Karate Kid, The ",Miracle on 34th Street ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
102,Braveheart ,Beauty and the Beast ,Ghost ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Matrix, The ",Fight Club 
103,12 Angry Men ,Back to the Future ,Monty Python and the Holy Grail ,Seven  ,Indiana Jones and the Temple of Doom ,Rear Window ,Just Cause ,Saboteur ,True Crime ,Blow Out 
104,American Beauty ,Breakfast at Tiffany's ,Casablanca ,Mary Poppins ,Singin' in the Rain ,Good Will Hunting ,Titanic ,Casablanca ,Jerry Maguire ,Leaving Las Vegas 
105,Chinatown ,"Pure Formality, A  ",House of Games ,Devil in a Blue Dress ,"Third Man, The ",Dial M for Murder ,Star Wars: Episode V - The Empire Strikes Back ,Toy Story ,Apollo 13 ,Jurassic Park 
106,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
107,Disclosure ,Twelve Monkeys  ,Seconds ,"Stepford Wives, The ",Unforgettable ,Seven  ,Rear Window ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
108,Apollo 13 ,"Shawshank Redemption, The ",Fargo ,Groundhog Day ,Raiders of the Lost Ark  ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
109,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,Chasing Amy ,Fast Times at Ridgemont High ,Don Juan DeMarco ,"Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
110,"Silence of the Lambs, The ",American History X ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,L̩on: The Professional   ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
111,Office Space ,"Breakfast Club, The ","Matrix, The ",Raiders of the Lost Ark  ,There's Something About Mary ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
112,Pulp Fiction ,"Godfather, The ","Godfather: Part II, The ",One Flew Over the Cuckoo's Nest ,Schindler's List ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,"Lock, Stock & Two Smoking Barrels "
113,Apollo 13 ,Monty Python and the Holy Grail ,Shakespeare in Love ,"Shawshank Redemption, The ",Toy Story ,American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
114,"Matrix, The ",Star Wars: Episode V - The Empire Strikes Back ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
115,Alien ,Back to the Future ,Ferris Bueller's Day Off ,"Fifth Element, The ",Fight Club ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
116,"Matrix, The ","Princess Bride, The ",Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Fight Club ,"Terminator, The ",Predator ,eXistenZ ,They Live ,Hangar 18 
117,What's Eating Gilbert Grape ,Rocky ,Dead Poets Society ,Rain Man ,Magnolia ,Sling Blade ,"Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
118,"Silence of the Lambs, The ",Fight Club ,"Shawshank Redemption, The ","Usual Suspects, The ",Blade Runner ,"Green Mile, The ",Casino ,Dead Man Walking ,Donnie Brasco ,Carlito's Way 
119,Fight Club ,Schindler's List ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Bullitt ,"Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
120,Eraser ,Star Trek: First Contact ,Toy Story ,Toy Story 2 ,Antz ,"Bug's Life, A ",Puss in Boots  ,"Black Cauldron, The ","Shawshank Redemption, The ",Pulp Fiction 
121,Four Weddings and a Funeral ,"Silence of the Lambs, The ",Babe ,Terminator 2: Judgment Day ,Get Shorty ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,"Birds, The "
122,"Clockwork Orange, A ",American Beauty ,"Shining, The ",Airplane! ,Amadeus ,Good Will Hunting ,Titanic ,Casablanca ,Jerry Maguire ,Leaving Las Vegas 
123,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,"Lock, Stock & Two Smoking Barrels ",Forrest Gump ,"Usual Suspects, The ",Schindler's List ,Raiders of the Lost Ark  
124,Fight Club ,Reservoir Dogs ,Seven  ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,"Matrix, The ",Fight Club 
125,American History X ,Good Will Hunting ,Seven  ,"Shining, The ","Usual Suspects, The ",Reservoir Dogs ,Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express 
126,Twelve Monkeys  ,Seconds ,"Stepford Wives, The ",Unforgettable ,Rear Window ,Just Cause ,"Matrix, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
127,"Player, The ",Crimes and Misdemeanors ,Something Wild ,Miami Blues ,Paper Moon ,Trainspotting ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
128,"Matrix, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
129,Forrest Gump ,"Green Mile, The ",Indiana Jones and the Last Crusade ,Indiana Jones and the Temple of Doom ,Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
130,Seven  ,Taxi Driver ,Rear Window ,Just Cause ,Saboteur ,True Crime ,Blow Out ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
131,Fight Club ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Bullitt ,Fight Club ,Schindler's List ,Raiders of the Lost Ark  ,Terminator 2: Judgment Day 
132,Fargo ,Ghostbusters  ,Pretty Woman ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Ferris Bueller's Day Off ,Man Bites Dog  ,Freeway ,Taxi Driver ,"Lock, Stock & Two Smoking Barrels ",Get Shorty 
